token,Revenues,Market Cap,Market Cap FD,Treasury,beta,Earnings,r,GDDM,ratio,PE,ratio_FD,PE_FD
AAVE,18.3,804.55,884.08,103.59,2.2661933859541494,14.64,0.14287870236793673,405.3674507582465,1.9847424811614152,54.95560109289617,2.1809348489779183,60.387978142076506
COMP,2.46,322.22,411.66,102.05,1.8815273133381,1.968,0.1255687291002145,162.35915509958616,1.9846124464146175,163.729674796748,2.5354899127646995,209.1768292682927
LDO,48.07,1380.0,1550.49,248.79,3.0994792643033775,38.456,0.18037656689365197,712.5942961880227,1.9365858067938815,35.88516746411483,2.17583835331583,40.31854587060536
CRV,17.83,389.71,1465.03,54.0,2.173880151225896,14.264,0.1387246068051653,373.0946221930678,1.044533951492697,27.32122826696579,3.926698249866172,102.70821648906337
CVX,37.21,220.71,274.07,3.13,2.37347037211216,29.768,0.1477061667450472,565.4116733496663,0.39035274721593305,7.414337543671056,0.48472646200657316,9.206866433754367
SUSHI,8.63,136.82,148.02,8.13,2.0880300082931367,6.904000000000001,0.13486135037319114,175.87706818671936,0.7779297290465716,19.817497103128616,0.8416105722370527,21.439745075318655
BSW,3.36,28.66,42.73,0.09,1.9401088631786452,2.688,0.12820489884303904,76.77964160950354,0.37327603254210234,10.66220238095238,0.5565277344914177,15.89657738095238
VELO,10.39,22.49,63.81,0.55,2.1683770632376222,8.312000000000001,0.138476967845693,187.4445274968339,0.11998216379179101,2.70572666025024,0.34042071460890105,7.676852743022136
